trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
16,False,"{'a': 0.5, 'e': 0.9199999999999999}",25,0,-130.97009567611457,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.9149999999999999}",20,0,-128.73820605378995,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.9099999999999999}",30,0,-125.92107465666518,"{0: 18, 1: 4, 2: 6, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.9049999999999999}",25,0,-104.07085437828565,"{0: 16, 1: 0, 2: 8, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-169.18203428583413,"{0: 15, 1: 3, 2: 3, 3: 1, 4: 3}",0
21,False,"{'a': 0.5, 'e': 0.8949999999999999}",30,0,-69.45363275345457,"{0: 19, 1: 5, 2: 6, 3: 0, 4: 0}",0
22,False,"{'a': 0.5, 'e': 0.8899999999999999}",20,0,-145.2336506248499,"{0: 9, 1: 2, 2: 7, 3: 0, 4: 2}",0
23,False,"{'a': 0.5, 'e': 0.8849999999999999}",30,0,-154.58284498100156,"{0: 15, 1: 3, 2: 10, 3: 1, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.8799999999999999}",20,0,-69.10932509103205,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.8749999999999999}",30,0,-212.33856703057592,"{0: 12, 1: 7, 2: 7, 3: 2, 4: 2}",0
26,False,"{'a': 0.5, 'e': 0.8699999999999999}",30,0,-112.78718238984223,"{0: 20, 1: 3, 2: 4, 3: 2, 4: 1}",0
27,False,"{'a': 0.5, 'e': 0.8649999999999999}",30,0,-83.95129721973305,"{0: 24, 1: 2, 2: 2, 3: 0, 4: 2}",0
28,False,"{'a': 0.5, 'e': 0.8599999999999999}",30,0,-85.535959598088,"{0: 18, 1: 6, 2: 5, 3: 1, 4: 0}",0
29,False,"{'a': 0.5, 'e': 0.8549999999999999}",25,0,-125.82195756268854,"{0: 13, 1: 4, 2: 6, 3: 1, 4: 1}",0
30,False,"{'a': 0.5, 'e': 0.8499999999999999}",35,9,-46.50831948492381,"{0: 18, 1: 2, 2: 6, 3: 0, 4: 0}",1
31,False,"{'a': 0.5, 'e': 0.8449999999999999}",25,0,-153.21521569864072,"{0: 16, 1: 1, 2: 3, 3: 3, 4: 2}",0
32,False,"{'a': 0.5, 'e': 0.8399999999999999}",20,0,-107.58877354811415,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
33,False,"{'a': 0.5, 'e': 0.8349999999999999}",35,0,-157.4103364697598,"{0: 23, 1: 5, 2: 4, 3: 0, 4: 3}",0
34,False,"{'a': 0.5, 'e': 0.8299999999999998}",20,0,-36.050376421729986,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
35,False,"{'a': 0.5, 'e': 0.8249999999999998}",25,0,-136.43213964658315,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
36,False,"{'a': 0.5, 'e': 0.8199999999999998}",20,0,-51.52659952859625,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
37,False,"{'a': 0.5, 'e': 0.8149999999999998}",25,0,-76.31235899037667,"{0: 14, 1: 6, 2: 4, 3: 1, 4: 0}",0
38,False,"{'a': 0.5, 'e': 0.8099999999999998}",20,0,-41.30679773180737,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
39,False,"{'a': 0.5, 'e': 0.8049999999999998}",20,10,-61.73405834785757,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 1}",1
40,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,18,-3.9791396293232837,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
41,False,"{'a': 0.5, 'e': 0.7949999999999998}",30,0,-173.0946595374081,"{0: 21, 1: 3, 2: 2, 3: 0, 4: 4}",0
42,False,"{'a': 0.5, 'e': 0.7899999999999998}",30,8,-45.55206833013887,"{0: 17, 1: 2, 2: 2, 3: 0, 4: 1}",1
43,False,"{'a': 0.5, 'e': 0.7849999999999998}",30,0,-131.1401210171273,"{0: 20, 1: 2, 2: 4, 3: 3, 4: 1}",0
44,False,"{'a': 0.5, 'e': 0.7799999999999998}",20,1,-88.10613998638335,"{0: 13, 1: 3, 2: 1, 3: 0, 4: 2}",1
45,False,"{'a': 0.5, 'e': 0.7749999999999998}",30,13,-61.52976625842741,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 1}",1
46,False,"{'a': 0.5, 'e': 0.7699999999999998}",25,0,-47.168496667872965,"{0: 19, 1: 0, 2: 5, 3: 1, 4: 0}",0
47,False,"{'a': 0.5, 'e': 0.7649999999999998}",30,17,-33.93232022809949,"{0: 8, 1: 3, 2: 1, 3: 1, 4: 0}",1
48,False,"{'a': 0.5, 'e': 0.7599999999999998}",25,0,-102.67219868195326,"{0: 14, 1: 3, 2: 6, 3: 2, 4: 0}",0
49,False,"{'a': 0.5, 'e': 0.7549999999999998}",20,0,-53.929063423861955,"{0: 15, 1: 0, 2: 3, 3: 2, 4: 0}",0
50,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,15.433449427202065,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
51,False,"{'a': 0.5, 'e': 0.7449999999999998}",20,0,-63.443709944145475,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
52,False,"{'a': 0.5, 'e': 0.7399999999999998}",20,0,-7.056236242729314,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
53,False,"{'a': 0.5, 'e': 0.7349999999999998}",25,0,-70.36804866794228,"{0: 15, 1: 3, 2: 7, 3: 0, 4: 0}",0
54,False,"{'a': 0.5, 'e': 0.7299999999999998}",25,0,-103.07526885565564,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 2}",0
55,False,"{'a': 0.5, 'e': 0.7249999999999998}",25,0,-162.01683130603868,"{0: 14, 1: 1, 2: 7, 3: 1, 4: 2}",0
56,False,"{'a': 0.5, 'e': 0.7199999999999998}",25,0,-86.85754658651777,"{0: 18, 1: 1, 2: 3, 3: 2, 4: 1}",0
57,False,"{'a': 0.5, 'e': 0.7149999999999997}",20,3,-25.306400530791482,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 0}",1
58,False,"{'a': 0.5, 'e': 0.7099999999999997}",25,0,-102.73012782353356,"{0: 16, 1: 3, 2: 3, 3: 2, 4: 1}",0
59,False,"{'a': 0.5, 'e': 0.7049999999999997}",20,12,3.4350370132129475,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-74.08510986074567,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
61,False,"{'a': 0.5, 'e': 0.6949999999999997}",30,0,-56.85730015452395,"{0: 21, 1: 2, 2: 7, 3: 0, 4: 0}",0
62,False,"{'a': 0.5, 'e': 0.6899999999999997}",20,0,-65.15476703776743,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
63,False,"{'a': 0.5, 'e': 0.6849999999999997}",30,0,-105.9870822488077,"{0: 22, 1: 1, 2: 4, 3: 2, 4: 1}",0
64,False,"{'a': 0.5, 'e': 0.6799999999999997}",25,0,-76.3493898750012,"{0: 17, 1: 4, 2: 2, 3: 1, 4: 1}",0
65,False,"{'a': 0.5, 'e': 0.6749999999999997}",25,0,-22.493376569597046,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
66,False,"{'a': 0.5, 'e': 0.6699999999999997}",30,0,-27.05515009955504,"{0: 27, 1: 1, 2: 1, 3: 0, 4: 1}",0
67,False,"{'a': 0.5, 'e': 0.6649999999999997}",20,0,-51.818342947055235,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
68,False,"{'a': 0.5, 'e': 0.6599999999999997}",20,0,-69.03123809787672,"{0: 10, 1: 5, 2: 5, 3: 0, 4: 0}",0
69,False,"{'a': 0.5, 'e': 0.6549999999999997}",25,0,1.1276464544398543,"{0: 21, 1: 3, 2: 1, 3: 0, 4: 0}",1
70,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,0,-80.5212204837391,"{0: 22, 1: 2, 2: 5, 3: 0, 4: 1}",0
